GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
weather-service,com.tcg.weatherinfo.integration,OpenWeatherMapClient,39,116,7,9,6,21,7,5,0,4
weather-service,com.tcg.weatherinfo,WeatherServiceApplication,5,3,0,0,2,1,1,1,1,1
weather-service,com.tcg.weatherinfo,ServletInitializer,12,0,0,0,2,0,2,0,2,0
weather-service,com.tcg.weatherinfo.service,WeatherService,44,217,5,13,9,49,4,15,0,10
weather-service,com.tcg.weatherinfo.service,UserService,16,63,1,1,2,12,3,5,2,5
weather-service,com.tcg.weatherinfo.controller,UserController,0,31,0,0,0,6,0,4,0,4
weather-service,com.tcg.weatherinfo.controller,HealthController,0,13,0,0,0,4,0,2,0,2
weather-service,com.tcg.weatherinfo.controller,WeatherController,89,20,12,0,23,5,7,2,1,2
weather-service,com.tcg.weatherinfo.exception,GlobalExceptionHandler,106,7,2,0,19,2,9,2,8,2
weather-service,com.tcg.weatherinfo.exception,UserNotActiveException,4,0,0,0,2,0,1,0,1,0
weather-service,com.tcg.weatherinfo.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
weather-service,com.tcg.weatherinfo.exception,WeatherServiceException,0,9,0,0,0,4,0,2,0,2
weather-service,com.tcg.weatherinfo.exception,InvalidPostalCodeException,0,4,0,0,0,2,0,1,0,1
weather-service,com.tcg.weatherinfo.exception,WeatherAppException,0,9,0,0,0,4,0,2,0,2
